stusps	state	n_empty_cells	n_occ_cells	n_specimens	max_dist_km	median_dist_km	epitome_ratio	epitome_drawn	epitome_lat	epitome_lon	apex_n	apex_ratio	apex_drawn	apex_lat	apex_lon
IN	Indiana	207	115	2835	44.41	17.52	2.53	TRUE	40.40457	-86.18902	525	131.25	TRUE	39.03447	-86.2127
MS	Mississippi	259	172	4742	42.79	17.36	2.46	TRUE	33.50491	-91.06304	804	160.8	TRUE	31.03458	-90.86347
PA	Pennsylvania	160	247	16870	42.52	17.32	2.46	TRUE	40.66645	-79.34084	863	50.76	TRUE	41.18053	-74.97674
TN	Tennessee	152	225	22481	41.36	17.35	2.38	TRUE	35.57476	-89.74626	2685	335.62	TRUE	35.68466	-83.49258
ID	Idaho	203	550	23720	38.58	17.6	2.19	TRUE	42.73305	-113.57279	895	42.62	TRUE	48.28021	-116.80167
MN	Minnesota	330	429	35077	36.06	17.53	2.06	TRUE	48.18724	-95.50374	2555	116.14	TRUE	48.44042	-92.85775
AL	Alabama	165	300	15435	34.65	17.3	2	TRUE	32.06719	-87.33791	988	109.78	TRUE	34.3843	-87.45693
MI	Michigan	163	359	32681	33.75	17.43	1.94	TRUE	42.58224	-82.61807	3249	171	TRUE	48.10547	-88.69958
KY	Kentucky	161	206	6064	33.7	17.39	1.94	TRUE	37.19266	-85.45383	492	82	TRUE	37.00279	-83.19809
NY	New York	135	301	12042	33.49	17.37	1.93	TRUE	44.78299	-75.35609	600	75	TRUE	44.30448	-73.91782
IL	Illinois	152	352	14121	33.18	17.34	1.91	TRUE	38.23572	-88.39244	1053	87.75	TRUE	37.52362	-88.67446
ME	Maine	67	230	14917	32.71	17.39	1.88	TRUE	46.71023	-69.95581	2162	180.17	TRUE	44.3018	-68.26337
WV	West Virginia	66	151	9431	28.2	17.22	1.64	TRUE	37.49528	-81.92613	956	79.67	TRUE	38.67653	-79.51194
GA	Georgia	155	376	21772	28.01	17.19	1.63	TRUE	31.06836	-84.75518	831	69.25	TRUE	34.72707	-84.0029
SC	South Carolina	84	194	9772	27.98	17.13	1.63	TRUE	34.00457	-81.61035	1389	173.62	TRUE	34.97803	-83.0952
MO	Missouri	211	413	18289	20.27	17.22	1.18	FALSE	38.26066	-94.25826	1210	110	TRUE	36.68739	-92.84469
IA	Iowa	169	336	12673	19.75	17.37	1.14	FALSE	43.05985	-93.88709	1774	86.54	TRUE	42.91717	-91.81927
WI	Wisconsin	54	449	21784	19.7	17.48	1.13	FALSE	45.19274	-91.97099	1158	72.38	TRUE	46.41645	-91.19844
WA	Washington	86	519	61131	19.1	17.72	1.08	FALSE	46.4093	-118.38811	1594	33.91	TRUE	46.49944	-121.78147
NC	North Carolina	63	380	61680	17.7	17.05	1.04	FALSE	35.44648	-81.8273	4490	230.26	TRUE	35.52946	-83.48531
VA	Virginia	56	308	16097	17.65	17.07	1.03	FALSE	37.06553	-82.09016	1703	113.53	TRUE	38.59417	-78.36955
NH	New Hampshire	12	71	6376	17.48	17.44	1	FALSE	42.97775	-71.37636	2400	109.09	TRUE	44.22235	-71.20525
FL	Florida	77	439	30093	17.44	17.16	1.02	FALSE	26.89599	-80.61211	2753	125.14	TRUE	28.75286	-81.18669
VT	Vermont	7	82	6670	17.42	17.38	1	FALSE	43.31304	-72.77104	1244	38.88	TRUE	43.85149	-73.12698
NJ	New Jersey	3	68	10984	17.37	17.31	1	FALSE	40.2558	-74.25529	1563	23.5	TRUE	39.70255	-74.68378
MD	Maryland	1	89	7102	17.15	17.15	1	FALSE	38.29976	-76.85702	1346	42.06	TRUE	38.28058	-75.53374
CT	Connecticut	0	41	4701	NA	NA	NA	FALSE	NA	NA	682	14.51	TRUE	41.98417	-73.31439
DE	Delaware	0	18	1367	NA	NA	NA	FALSE	NA	NA	255	4.55	FALSE	39.80478	-75.64587
MA	Massachusetts	0	73	6584	NA	NA	NA	FALSE	NA	NA	522	18.64	TRUE	42.23894	-71.27185
RI	Rhode Island	0	12	1973	NA	NA	NA	FALSE	NA	NA	468	3.49	FALSE	41.53384	-71.76269
